LDA	105	143	57	95	159	0.1
\TheName{}1.0	136	135	65	64	1007	0.1075
\TheName{}1.5	138	134	66	62	1010	0.1
\TheName{}2.0	146	129	71	54	1004	0.1
\TheName{}2.5	149	128	72	51	1005	0.1
\TheName{}3.0	151	125	75	49	1007	0.1
SDA-1.0	145	128	72	55	983	0.1
SDA-1.5	155	123	77	45	973	0.1
SDA-2.0	160	120	80	40	970	0.1
SDA-2.5	164	119	81	36	969	0.1
SDA-3.0	165	116	84	35	980	0.1
DTree-10	178	101	99	22	3	0.005
DTree-20	177	99	101	23	5	0.0025
LinearSVM	121	135	65	79	68	0.0025
NLSVM-0.1	0	200	0	200	20	0.1225
NLSVM-1.0	84	145	55	116	15	0.085
NLSVM-10	134	132	68	66	14	0.0725
LR-1	112	139	61	88	677	0.005
AdaBoost-100	75	165	35	125	2452	0.1625
AdaBoost-200	76	165	35	124	5047	0.3525
RFC-100	90	156	44	110	171	0.04
RFC-200	85	160	40	115	326	0.085
LDA	133	122	78	67	159	0.1
\TheName{}1.0	172	111	89	28	1030	0.105
\TheName{}1.5	173	112	88	27	1011	0.1
\TheName{}2.0	175	111	89	25	1011	0.1025
\TheName{}2.5	176	112	88	24	1005	0.1025
\TheName{}3.0	177	109	91	23	1002	0.1
SDA-1.0	173	107	93	27	967	0.1
SDA-1.5	171	107	93	29	972	0.1
SDA-2.0	171	104	96	29	966	0.0975
SDA-2.5	171	106	94	29	968	0.1
SDA-3.0	171	105	95	29	977	0.1
DTree-10	170	103	97	30	3	0.0025
DTree-20	165	103	97	35	6	0.0025
LinearSVM	145	131	69	55	103	0.005
NLSVM-0.1	198	3	197	2	20	0.1225
NLSVM-1.0	177	38	162	23	15	0.0875
NLSVM-10	176	103	97	24	12	0.065
LR-1	126	136	64	74	1182	0.0025
AdaBoost-100	76	174	26	124	3361	0.1625
AdaBoost-200	77	174	26	123	7069	0.3575
RFC-100	110	147	53	90	172	0.04
RFC-200	89	157	43	111	332	0.1
LDA	115	129	71	85	159	0.1025
\TheName{}1.0	157	126	74	43	1045	0.1025
\TheName{}1.5	159	125	75	41	1023	0.1
\TheName{}2.0	161	122	78	39	1003	0.1
\TheName{}2.5	164	120	80	36	1009	0.1
\TheName{}3.0	164	119	81	36	1012	0.1
SDA-1.0	162	123	77	38	970	0.1
SDA-1.5	165	117	83	35	975	0.1
SDA-2.0	165	114	86	35	979	0.0975
SDA-2.5	162	111	89	38	976	0.1
SDA-3.0	163	110	90	37	970	0.1
DTree-10	120	135	65	80	4	0.0025
DTree-20	126	134	66	74	5	0.0025
LinearSVM	127	134	66	73	308	0.005
NLSVM-0.1	199	1	199	1	19	0.1225
NLSVM-1.0	144	94	106	56	14	0.085
NLSVM-10	175	99	101	25	13	0.075
LR-1	113	120	80	87	755	0.0025
AdaBoost-100	67	178	22	133	1690	0.1675
AdaBoost-200	65	180	20	135	3430	0.355
RFC-100	130	143	57	70	193	0.0425
RFC-200	124	142	58	76	380	0.095
LDA	114	124	76	86	161	0.1025
\TheName{}1.0	164	112	88	36	1008	0.1
\TheName{}1.5	170	109	91	30	1019	0.1025
\TheName{}2.0	173	106	94	27	1003	0.1
\TheName{}2.5	173	105	95	27	992	0.1025
\TheName{}3.0	173	105	95	27	1004	0.1025
SDA-1.0	174	107	93	26	969	0.1
SDA-1.5	178	101	99	22	976	0.1
SDA-2.0	178	99	101	22	966	0.1
SDA-2.5	179	96	104	21	993	0.0975
SDA-3.0	179	92	108	21	984	0.1
DTree-10	188	69	131	12	3	0.0025
DTree-20	157	128	72	43	5	0.005
LinearSVM	138	119	81	62	96	0.0025
NLSVM-0.1	200	1	199	0	20	0.1225
NLSVM-1.0	71	151	49	129	14	0.085
NLSVM-10	176	100	100	24	13	0.07
LR-1	125	129	71	75	1047	0.0025
AdaBoost-100	63	178	22	137	2889	0.165
AdaBoost-200	63	178	22	137	5376	0.3475
RFC-100	139	145	55	61	213	0.05
RFC-200	142	137	63	58	384	0.135
LDA	120	129	71	80	160	0.1
\TheName{}1.0	153	106	94	47	1023	0.1
\TheName{}1.5	158	101	99	42	1014	0.1
\TheName{}2.0	157	98	102	43	1012	0.1
\TheName{}2.5	157	96	104	43	1015	0.1
\TheName{}3.0	157	95	105	43	1016	0.1025
SDA-1.0	155	94	106	45	972	0.1
SDA-1.5	151	94	106	49	979	0.1
SDA-2.0	153	87	113	47	975	0.105
SDA-2.5	152	86	114	48	980	0.1
SDA-3.0	156	85	115	44	973	0.1
DTree-10	173	96	104	27	4	0.0025
DTree-20	171	99	101	29	6	0.0025
