DTree-10,100,92.73,164.21,35.79,107.27,5.41,0.0055,0.64235,0.558775573823128
DTree-20,100,112.84,154.93,45.07,87.16,6.26,0.0053,0.669425,0.628694823231303
LDA,100,145.48,141.97,58.03,54.52,350.84,0.271825,0.718625,0.718242547270142
LR,100,52,148,52,148,0.38,0.005875,0.5,0.173333333333333
NLSVM-0.1,100,96.37,111.75,88.25,103.63,1.22,0.033925,0.5203,0.336708701771569
NLSVM-1.0,100,141.48,93.84,106.16,58.52,1.1,0.0273,0.5883,0.56951428668359
NLSVM-10,100,100.09,123.68,76.32,99.91,1.08,0.025425,0.559425,0.400188225676134
RFC-100,100,88.09,179.23,20.77,111.91,28.24,0.01935,0.6683,0.56698605141108
RFC-50,100,86.88,178.84,21.16,113.12,11.07,0.00972499999999999,0.6643,0.561177714467983
SDA-0.5,100,137.94,169.69,30.31,62.06,1619.25,0.1755,0.769075,0.743593945223506
SDA-1.0,100,136.79,169.28,30.72,63.21,1610.54,0.174975,0.765175,0.738942124684733
SDA-1.5,100,136.32,169.09,30.91,63.68,1614.46,0.17575,0.763525,0.73694020367371
SDA-2.0,100,135.98,168.99,31.01,64.02,1617.66,0.174925,0.762425,0.735599918836278
SDA-2.5,100,135.76,168.92,31.08,64.24,1614.35,0.173775,0.7617,0.734722569567037
SDA-3.0,100,135.65,168.89,31.11,64.35,1623.33,0.1765,0.76135,0.734263332078499
SVM,100,158.97,152.45,47.55,41.03,1.79,0.006175,0.77855,0.780950713130421
Ye-LDA,100,137.81,162.24,37.76,62.19,117.94,0.006025,0.750125,0.729143049655434
\TheName{}-0.5,100,156.5,129.83,70.17,43.5,1706.29,0.17665,0.715825,0.736360748092584
\TheName{}-1.0,100,157.39,165.27,34.73,42.61,1701.99,0.17655,0.80665,0.800248407323862
\TheName{}-1.5,100,148.26,168.88,31.12,51.74,1720.8,0.17955,0.79285,0.778008420059793
\TheName{}-2.0,100,143.88,169.18,30.82,56.12,1709.09,0.177075,0.782649999999999,0.76378244256737
\TheName{}-2.5,100,141.7,169.3,30.7,58.3,1697.08,0.1794,0.7775,0.756334011594568
\TheName{}-3.0,100,140.55,169.21,30.79,59.45,1707.58,0.176775,0.7744,0.752094788541721
