DTree-10,20,95.6,153.9,46.1,104.4,1.35,0.003,0.62375,0.555109509819633
DTree-20,20,97.4,152.85,47.15,102.6,1.45,0.003375,0.625625,0.560600274239621
LDA,20,129.8,146.85,53.15,70.2,222.6,0.17875,0.691625,0.674465499766317
LR,20,30,170,30,170,0.1,0.005,0.5,0.1
NLSVM-0.1,20,80.4,123.25,76.75,119.6,0.1,0.016,0.509125,0.283280602043391
NLSVM-1.0,20,110.5,107.7,92.3,89.5,0.2,0.013125,0.5455,0.454218204940074
NLSVM-10,20,94.6,132.25,67.75,105.4,0.15,0.012375,0.567125,0.416690007441355
RFC-100,20,56.6,188.2,11.8,143.4,8.9,0.010375,0.612,0.417894207089638
RFC-50,20,53.25,188.3,11.7,146.75,3.4,0.00575,0.603875,0.398570306138291
SDA-0.5,20,124.4,167.4,32.6,75.6,1166.2,0.171875,0.7295,0.689399101101745
SDA-1.0,20,124,166.9,33.1,76,1163.35,0.17275,0.72725,0.686763883570737
SDA-1.5,20,123.55,166.75,33.25,76.45,1158.15,0.17025,0.72575,0.684844339495286
SDA-2.0,20,123.4,166.8,33.2,76.6,1163.8,0.170875,0.7255,0.684532086497863
SDA-2.5,20,123.5,166.75,33.25,76.5,1164.7,0.17025,0.725625,0.684926459112607
SDA-3.0,20,123.55,166.7,33.3,76.45,1194.25,0.174125,0.725625,0.685011135650382
SVM,20,138.9,146.8,53.2,61.1,0.35,0.005,0.71425,0.707280350953124
Ye-LDA,20,108.1,168.85,31.15,91.9,93.55,0.004,0.692375,0.627928464544799
\TheName{}-0.5,20,135.25,91.75,108.25,64.75,1226,0.17,0.5675,0.613924097095272
\TheName{}-1.0,20,138.75,157.8,42.2,61.25,1221.35,0.1745,0.741375,0.722827382361752
\TheName{}-1.5,20,133.05,164.85,35.15,66.95,1233.85,0.1735,0.74475,0.715205139066738
\TheName{}-2.0,20,130.45,165.8,34.2,69.55,1225.7,0.174625,0.740625,0.708026541610669
\TheName{}-2.5,20,128.1,165.8,34.2,71.9,1228.5,0.17275,0.73475,0.699617826084825
\TheName{}-3.0,20,127.15,166,34,72.85,1215.4,0.174125,0.732875,0.696338268089594
