LDA	162	160	40	38	453	0.1675
SDA-0.5	118	179	21	82	1430	0.17
SDA-1.0	117	179	21	83	1447	0.1725
SDA-1.5	116	179	21	84	1451	0.17
SDA-2.0	115	179	21	85	1406	0.17
SDA-2.5	115	179	21	85	1429	0.18
SDA-3.0	115	179	21	85	1427	0.185
\TheName{}-0.5	170	100	100	30	1515	0.1725
\TheName{}-1.0	161	175	25	39	1555	0.1875
\TheName{}-1.5	144	181	19	56	1527	0.17
\TheName{}-2.0	132	179	21	68	1533	0.19
\TheName{}-2.5	127	179	21	73	1535	0.1825
\TheName{}-3.0	124	179	21	76	1533	0.17
SVM	183	169	31	17	17	0.005
LR	0	200	0	200	1	0.0025
Ye-LDA	166	166	34	34	266	0.005
DTree-10	72	174	26	128	4	0.0025
DTree-20	111	167	33	89	9	0.0
RFC-50	127	177	23	73	94	0.02
RFC-100	131	175	25	69	220	0.055
NLSVM-0.1	200	36	164	0	22	0.1425
NLSVM-1.0	179	97	103	21	18	0.115
NLSVM-10	146	180	20	54	21	0.1025
LDA	157	163	37	43	462	0.19
SDA-0.5	126	186	14	74	1481	0.1675
SDA-1.0	124	185	15	76	1431	0.18
SDA-1.5	123	183	17	77	1446	0.1725
SDA-2.0	123	183	17	77	1426	0.1675
SDA-2.5	123	183	17	77	1446	0.17
SDA-3.0	123	183	17	77	1437	0.17
\TheName{}-0.5	149	139	61	51	1518	0.17
\TheName{}-1.0	153	189	11	47	1528	0.18
\TheName{}-1.5	144	185	15	56	1521	0.1775
\TheName{}-2.0	137	185	15	63	1540	0.175
\TheName{}-2.5	135	185	15	65	1507	0.1875
\TheName{}-3.0	132	185	15	68	1552	0.185
SVM	183	176	24	17	20	0.005
LR	0	200	0	200	1	0.005
Ye-LDA	141	188	12	59	281	0.005
DTree-10	80	181	19	120	6	0.0075
DTree-20	113	173	27	87	7	0.0025
RFC-50	122	180	20	78	89	0.0225
RFC-100	123	180	20	77	214	0.045
NLSVM-0.1	200	37	163	0	22	0.1525
NLSVM-1.0	189	131	69	11	18	0.115
NLSVM-10	106	195	5	94	18	0.1
LDA	149	151	49	51	467	0.185
SDA-0.5	119	176	24	81	1413	0.1675
SDA-1.0	117	176	24	83	1444	0.1725
SDA-1.5	115	176	24	85	1413	0.17
SDA-2.0	115	176	24	85	1381	0.18
SDA-2.5	115	176	24	85	1429	0.1825
SDA-3.0	115	176	24	85	1413	0.1725
\TheName{}-0.5	160	142	58	40	1501	0.1675
\TheName{}-1.0	147	181	19	53	1438	0.1775
\TheName{}-1.5	132	180	20	68	1508	0.1725
\TheName{}-2.0	128	177	23	72	1522	0.1825
\TheName{}-2.5	124	178	22	76	1495	0.18
\TheName{}-3.0	124	177	23	76	1444	0.17
SVM	180	171	29	20	25	0.005
LR	0	200	0	200	1	0.0025
Ye-LDA	118	175	25	82	263	0.005
DTree-10	53	181	19	147	4	0.0025
DTree-20	79	179	21	121	7	0.0025
RFC-50	114	177	23	86	95	0.02
RFC-100	119	176	24	81	216	0.0525
NLSVM-0.1	199	33	167	1	22	0.1525
NLSVM-1.0	51	190	10	149	17	0.1175
NLSVM-10	95	194	6	105	17	0.1025
LDA	168	156	44	32	435	0.1675
SDA-0.5	144	174	26	56	1471	0.1675
SDA-1.0	143	173	27	57	1421	0.185
SDA-1.5	142	173	27	58	1462	0.185
SDA-2.0	142	173	27	58	1449	0.18
SDA-2.5	141	173	27	59	1482	0.185
SDA-3.0	141	173	27	59	1468	0.1725
\TheName{}-0.5	194	160	40	6	1474	0.1725
\TheName{}-1.0	162	178	22	38	1546	0.17
\TheName{}-1.5	150	177	23	50	1538	0.1925
\TheName{}-2.0	147	174	26	53	1517	0.1725
\TheName{}-2.5	145	174	26	55	1489	0.18
\TheName{}-3.0	145	174	26	55	1512	0.17
SVM	179	178	22	21	27	0.005
LR	0	200	0	200	1	0.0025
Ye-LDA	162	165	35	38	268	0.0075
DTree-10	53	184	16	147	4	0.0025
DTree-20	81	179	21	119	7	0.0025
RFC-50	104	180	20	96	96	0.0175
RFC-100	109	179	21	91	244	0.025
NLSVM-0.1	198	32	168	2	24	0.15
NLSVM-1.0	108	185	15	92	17	0.1175
NLSVM-10	148	179	21	52	18	0.105
LDA	156	148	52	44	457	0.1825
SDA-0.5	122	178	22	78	1435	0.17
SDA-1.0	120	178	22	80	1397	0.17
SDA-1.5	118	178	22	82	1450	0.18
SDA-2.0	117	178	22	83	1419	0.1775
SDA-2.5	116	178	22	84	1426	0.17
SDA-3.0	115	178	22	85	1451	0.1825
\TheName{}-0.5	174	176	24	26	1519	0.19
\TheName{}-1.0	143	180	20	57	1542	0.17
\TheName{}-1.5	135	178	22	65	1527	0.17
\TheName{}-2.0	131	178	22	69	1561	0.185
\TheName{}-2.5	124	177	23	76	1523	0.185
\TheName{}-3.0	123	177	23	77	1533	0.17
SVM	168	174	26	32	21	0.0025
LR	200	0	200	0	2	0.005
Ye-LDA	174	172	28	26	259	0.005
DTree-10	70	179	21	130	4	0.0025
