LDA	130	159	41	70	290	0.185
SDA-0.5	144	178	22	56	1260	0.17
SDA-1.0	142	179	21	58	1275	0.1675
SDA-1.5	143	179	21	57	1308	0.175
SDA-2.0	142	179	21	58	1359	0.17
SDA-2.5	142	179	21	58	1279	0.175
SDA-3.0	142	179	21	58	1283	0.18
\TheName{}-0.5	164	145	55	36	1354	0.17
\TheName{}-1.0	164	179	21	36	1352	0.17
\TheName{}-1.5	152	180	20	48	1366	0.17
\TheName{}-2.0	150	179	21	50	1418	0.1825
\TheName{}-2.5	148	180	20	52	1356	0.1725
\TheName{}-3.0	146	180	20	54	1337	0.17
SVM	151	176	24	49	2	0.005
LR	0	200	0	200	1	0.0025
Ye-LDA	154	184	16	46	143	0.0025
DTree-10	75	170	30	125	3	0.0025
DTree-20	121	153	47	79	3	0.0025
RFC-50	74	185	15	126	10	0.0075
RFC-100	86	179	21	114	16	0.0175
NLSVM-0.1	200	19	181	0	2	0.0425
NLSVM-1.0	170	67	133	30	2	0.03
NLSVM-10	40	197	3	160	2	0.03
LDA	163	138	62	37	288	0.18
SDA-0.5	135	175	25	65	1246	0.17
SDA-1.0	134	177	23	66	1240	0.18
SDA-1.5	134	177	23	66	1257	0.1675
SDA-2.0	134	177	23	66	1279	0.17
SDA-2.5	134	176	24	66	1283	0.17
SDA-3.0	134	176	24	66	1249	0.1675
\TheName{}-0.5	137	90	110	63	1352	0.1875
\TheName{}-1.0	175	165	35	25	1351	0.17
\TheName{}-1.5	157	177	23	43	1326	0.1825
\TheName{}-2.0	146	178	22	54	1350	0.19
\TheName{}-2.5	142	177	23	58	1359	0.18
\TheName{}-3.0	141	179	21	59	1373	0.17
SVM	179	147	53	21	2	0.005
LR	0	200	0	200	0	0.005
Ye-LDA	128	184	16	72	136	0.0025
DTree-10	84	183	17	116	3	0.0025
DTree-20	130	162	38	70	5	0.0025
RFC-50	94	188	12	106	6	0.0075
RFC-100	94	181	19	106	14	0.02
NLSVM-0.1	199	32	168	1	2	0.0475
NLSVM-1.0	28	194	6	172	1	0.0375
NLSVM-10	200	11	189	0	2	0.0325
LDA	148	104	96	52	291	0.1825
SDA-0.5	193	116	84	7	1302	0.17
SDA-1.0	193	113	87	7	1292	0.19
SDA-1.5	193	113	87	7	1410	0.175
SDA-2.0	193	113	87	7	1280	0.1725
SDA-2.5	193	113	87	7	1287	0.1775
SDA-3.0	193	113	87	7	1289	0.17
\TheName{}-0.5	187	112	88	13	1336	0.17
\TheName{}-1.0	193	115	85	7	1341	0.175
\TheName{}-1.5	193	113	87	7	1366	0.175
\TheName{}-2.0	193	114	86	7	1338	0.1825
\TheName{}-2.5	193	115	85	7	1386	0.17
\TheName{}-3.0	193	114	86	7	1312	0.17
SVM	183	115	85	17	2	0.005
LR	0	200	0	200	0	0.005
Ye-LDA	186	115	85	14	143	0.005
DTree-10	94	164	36	106	2	0.0025
DTree-20	123	155	45	77	5	0.0025
RFC-50	93	183	17	107	17	0.0075
RFC-100	92	185	15	108	35	0.02
NLSVM-0.1	200	24	176	0	2	0.0425
NLSVM-1.0	33	162	38	167	2	0.035
NLSVM-10	133	178	22	67	2	0.03
LDA	122	160	40	78	271	0.1725
SDA-0.5	161	168	32	39	1237	0.1675
SDA-1.0	160	168	32	40	1280	0.1725
SDA-1.5	160	168	32	40	1231	0.1675
SDA-2.0	160	168	32	40	1285	0.1725
SDA-2.5	160	168	32	40	1270	0.17
SDA-3.0	160	168	32	40	1268	0.17
\TheName{}-0.5	128	186	14	72	1335	0.1825
\TheName{}-1.0	148	178	22	52	1338	0.1725
\TheName{}-1.5	154	171	29	46	1303	0.17
\TheName{}-2.0	156	171	29	44	1293	0.1775
\TheName{}-2.5	156	171	29	44	1343	0.175
\TheName{}-3.0	156	170	30	44	1352	0.1725
SVM	156	163	37	44	2	0.005
LR	0	200	0	200	0	0.005
Ye-LDA	150	168	32	50	135	0.005
DTree-10	77	190	10	123	2	0.0025
DTree-20	121	165	35	79	5	0.0025
RFC-50	96	183	17	104	17	0.0075
RFC-100	91	186	14	109	37	0.03
NLSVM-0.1	200	13	187	0	2	0.0475
NLSVM-1.0	194	47	153	6	2	0.0375
NLSVM-10	177	159	41	23	2	0.0375
LDA	120	163	37	80	293	0.1875
SDA-0.5	117	160	40	83	1241	0.17
SDA-1.0	116	158	42	84	1296	0.1675
SDA-1.5	116	158	42	84	1235	0.17
SDA-2.0	116	158	42	84	1253	0.1725
SDA-2.5	116	158	42	84	1252	0.1675
SDA-3.0	116	158	42	84	1282	0.1825
\TheName{}-0.5	161	122	78	39	1322	0.185
\TheName{}-1.0	128	159	41	72	1308	0.18
\TheName{}-1.5	120	158	42	80	1341	0.17
\TheName{}-2.0	118	158	42	82	1362	0.17
\TheName{}-2.5	118	158	42	82	1357	0.195
\TheName{}-3.0	118	158	42	82	1346	0.185
SVM	139	156	44	61	3	0.005
LR	200	0	200	0	1	0.0075
Ye-LDA	159	157	43	41	130	0.0025
DTree-10	94	152	48	106	6	0.0225
DTree-20	117	143	57	83	6	0.0125
RFC-50	114	158	42	86	8	0.015
RFC-100	104	164	36	96	39	0.02
NLSVM-0.1	200	23	177	0	2	0.045
NLSVM-1.0	132	126	74	68	1	0.035
NLSVM-10	200	59	141	0	1	0.035
LDA	163	138	62	37	285	0.1775
SDA-0.5	189	135	65	11	1246	0.175
SDA-1.0	186	136	64	14	1259	0.1675
SDA-1.5	186	135	65	14	1259	0.17
SDA-2.0	186	135	65	14	1284	0.17
SDA-2.5	186	135	65	14	1280	0.1675
SDA-3.0	186	135	65	14	1280	0.1675
\TheName{}-0.5	140	168	32	60	1369	0.17
\TheName{}-1.0	178	152	48	22	1338	0.1825
\TheName{}-1.5	182	141	59	18	1353	0.185
\TheName{}-2.0	183	140	60	17	1328	0.1825
\TheName{}-2.5	183	140	60	17	1332	0.175
\TheName{}-3.0	183	138	62	17	1343	0.175
SVM	161	166	34	39	3	0.005
LR	0	200	0	200	0	0.005
Ye-LDA	180	153	47	20	142	0.0075
DTree-10	82	161	39	118	2	0.005
DTree-20	100	153	47	100	4	0.0025
RFC-50	94	169	31	106	19	0.0125
RFC-100	76	179	21	124	35	0.025
NLSVM-0.1	199	11	189	1	2	0.0475
NLSVM-1.0	148	130	70	52	2	0.0325
NLSVM-10	200	12	188	0	2	0.0325
LDA	133	155	45	67	302	0.165
