LDA	104	137	63	96	313	0.1675
SDA-0.5	140	162	38	60	1294	0.18
SDA-1.0	136	163	37	64	1301	0.1675
SDA-1.5	135	163	37	65	1297	0.1725
SDA-2.0	135	162	38	65	1305	0.1675
SDA-2.5	134	162	38	66	1336	0.1675
SDA-3.0	134	162	38	66	1347	0.1775
\TheName{}-0.5	187	162	38	13	1413	0.17
\TheName{}-1.0	158	162	38	42	1404	0.18
\TheName{}-1.5	146	161	39	54	1369	0.185
\TheName{}-2.0	142	161	39	58	1430	0.185
\TheName{}-2.5	141	161	39	59	1357	0.1725
\TheName{}-3.0	141	162	38	59	1380	0.1725
SVM	179	161	39	21	8	0.005
LR	0	200	0	200	1	0.0025
Ye-LDA	170	160	40	30	163	0.005
DTree-10	64	175	25	136	3	0.005
DTree-20	118	154	46	82	5	0.0025
RFC-50	88	173	27	112	27	0.01
RFC-100	96	174	26	104	58	0.025
NLSVM-0.1	200	24	176	0	5	0.0675
NLSVM-1.0	196	107	93	4	5	0.0525
NLSVM-10	114	186	14	86	4	0.05
LDA	126	145	55	74	313	0.1675
SDA-0.5	186	164	36	14	1311	0.17
SDA-1.0	179	164	36	21	1329	0.1825
SDA-1.5	179	164	36	21	1327	0.1725
SDA-2.0	179	164	36	21	1344	0.1675
SDA-2.5	179	164	36	21	1328	0.18
SDA-3.0	179	164	36	21	1328	0.1725
\TheName{}-0.5	185	154	46	15	1414	0.1725
\TheName{}-1.0	188	156	44	12	1367	0.18
\TheName{}-1.5	186	160	40	14	1400	0.17
\TheName{}-2.0	185	161	39	15	1356	0.175
\TheName{}-2.5	185	162	38	15	1410	0.1775
\TheName{}-3.0	184	162	38	16	1383	0.1875
SVM	170	156	44	30	9	0.005
LR	0	200	0	200	1	0.005
Ye-LDA	180	168	32	20	172	0.015
DTree-10	97	159	41	103	3	0.005
DTree-20	117	154	46	83	5	0.005
RFC-50	99	179	21	101	29	0.0125
RFC-100	92	180	20	108	72	0.03
NLSVM-0.1	200	21	179	0	6	0.0775
NLSVM-1.0	197	57	143	3	5	0.06
