LDA	171	144	56	29	455	0.165
SDA-0.5	160	179	21	40	1427	0.1825
SDA-1.0	159	179	21	41	1431	0.17
SDA-1.5	159	179	21	41	1433	0.1775
SDA-2.0	160	179	21	40	1399	0.1825
SDA-2.5	160	179	21	40	1421	0.1675
SDA-3.0	160	179	21	40	1404	0.1775
\TheName{}-0.5	184	163	37	16	1520	0.185
\TheName{}-1.0	177	179	21	23	1475	0.17
\TheName{}-1.5	170	178	22	30	1507	0.195
\TheName{}-2.0	168	179	21	32	1519	0.1775
\TheName{}-2.5	166	179	21	34	1481	0.1825
\TheName{}-3.0	165	180	20	35	1519	0.1825
SVM	188	168	32	12	23	0.005
LR	0	200	0	200	2	0.005
Ye-LDA	166	177	23	34	313	0.0125
DTree-10	57	190	10	143	5	0.01
DTree-20	107	179	21	93	7	0.005
RFC-50	127	186	14	73	93	0.0225
RFC-100	124	185	15	76	80	0.05
NLSVM-0.1	200	31	169	0	24	0.16
NLSVM-1.0	195	100	100	5	19	0.115
NLSVM-10	187	157	43	13	16	0.1025
LDA	160	159	41	40	436	0.1725
SDA-0.5	133	172	28	67	1390	0.1725
SDA-1.0	131	170	30	69	1406	0.18
SDA-1.5	130	170	30	70	1424	0.1775
SDA-2.0	130	170	30	70	1425	0.1675
SDA-2.5	130	170	30	70	1382	0.18
SDA-3.0	129	170	30	71	1417	0.1825
\TheName{}-0.5	179	166	34	21	1471	0.1675
\TheName{}-1.0	147	176	24	53	1465	0.17
\TheName{}-1.5	140	172	28	60	1471	0.1825
\TheName{}-2.0	138	173	27	62	1466	0.17
\TheName{}-2.5	136	172	28	64	1523	0.18
\TheName{}-3.0	134	172	28	66	1499	0.1725
SVM	175	175	25	25	24	0.0025
LR	0	200	0	200	2	0.0025
Ye-LDA	152	169	31	48	267	0.0075
DTree-10	74	176	24	126	5	0.0025
DTree-20	94	182	18	106	7	0.0025
RFC-50	124	169	31	76	29	0.0175
RFC-100	121	172	28	79	234	0.02
NLSVM-0.1	200	34	166	0	36	0.15
NLSVM-1.0	186	94	106	14	18	0.1125
NLSVM-10	105	190	10	95	19	0.1025
LDA	159	147	53	41	467	0.18
SDA-0.5	155	173	27	45	1361	0.1775
SDA-1.0	155	171	29	45	1410	0.1675
SDA-1.5	155	171	29	45	1377	0.1775
SDA-2.0	155	171	29	45	1377	0.17
SDA-2.5	154	171	29	46	1398	0.185
SDA-3.0	154	171	29	46	1468	0.1825
\TheName{}-0.5	183	157	43	17	1457	0.1825
\TheName{}-1.0	167	175	25	33	1475	0.1675
\TheName{}-1.5	159	174	26	41	1505	0.1975
\TheName{}-2.0	159	174	26	41	1486	0.1975
\TheName{}-2.5	158	174	26	42	1502	0.1925
\TheName{}-3.0	156	174	26	44	1495	0.1725
SVM	172	167	33	28	21	0.005
LR	0	200	0	200	1	0.005
Ye-LDA	166	174	26	34	277	0.0075
DTree-10	83	175	25	117	4	0.005
DTree-20	101	166	34	99	7	0.005
RFC-50	121	174	26	79	115	0.0525
RFC-100	118	176	24	82	84	0.0575
NLSVM-0.1	198	20	180	2	28	0.16
NLSVM-1.0	189	105	95	11	18	0.1125
NLSVM-10	194	118	82	6	19	0.0975
LDA	152	153	47	48	440	0.165
SDA-0.5	101	182	18	99	1421	0.1925
SDA-1.0	102	181	19	98	1411	0.1775
SDA-1.5	102	180	20	98	1453	0.1775
SDA-2.0	102	180	20	98	1446	0.18
SDA-2.5	101	180	20	99	1394	0.17
SDA-3.0	101	180	20	99	1504	0.185
\TheName{}-0.5	140	70	130	60	1479	0.1775
\TheName{}-1.0	183	171	29	17	1473	0.175
\TheName{}-1.5	132	185	15	68	1484	0.185
\TheName{}-2.0	117	184	16	83	1550	0.18
\TheName{}-2.5	107	184	16	93	1546	0.17
\TheName{}-3.0	105	184	16	95	1478	0.1825
SVM	184	162	38	16	26	0.005
LR	0	200	0	200	1	0.0025
Ye-LDA	143	179	21	57	265	0.005
DTree-10	56	186	14	144	5	0.005
DTree-20	110	167	33	90	7	0.0025
RFC-50	112	185	15	88	95	0.015
RFC-100	109	188	12	91	66	0.04
NLSVM-0.1	8	200	0	192	23	0.1425
NLSVM-1.0	198	80	120	2	18	0.1125
NLSVM-10	150	181	19	50	16	0.1175
LDA	152	145	55	48	496	0.18
SDA-0.5	159	164	36	41	1415	0.19
SDA-1.0	159	164	36	41	1391	0.1675
SDA-1.5	158	164	36	42	1411	0.175
SDA-2.0	156	164	36	44	1443	0.1825
SDA-2.5	156	165	35	44	1443	0.1725
SDA-3.0	156	165	35	44	1400	0.17
\TheName{}-0.5	184	142	58	16	1499	0.1825
\TheName{}-1.0	176	161	39	24	1516	0.17
\TheName{}-1.5	172	162	38	28	1470	0.17
\TheName{}-2.0	169	162	38	31	1496	0.1975
\TheName{}-2.5	163	164	36	37	1540	0.1675
\TheName{}-3.0	161	164	36	39	1503	0.1825
SVM	182	161	39	18	21	0.005
LR	0	200	0	200	1	0.005
Ye-LDA	168	147	53	32	268	0.0025
DTree-10	32	196	4	168	4	0.0025
DTree-20	92	177	23	108	8	0.0025
RFC-50	116	181	19	84	129	0.0225
RFC-100	116	180	20	84	221	0.05
NLSVM-0.1	200	27	173	0	22	0.14
NLSVM-1.0	194	80	120	6	20	0.1125
NLSVM-10	198	85	115	2	16	0.1
LDA	149	162	38	51	462	0.1975
SDA-0.5	162	179	21	38	1397	0.18
SDA-1.0	160	179	21	40	1461	0.1925
SDA-1.5	159	179	21	41	1449	0.17
SDA-2.0	159	179	21	41	1397	0.1825
SDA-2.5	159	179	21	41	1398	0.17
SDA-3.0	159	180	20	41	1493	0.1675
\TheName{}-0.5	187	146	54	13	1504	0.1975
\TheName{}-1.0	178	175	25	22	1490	0.1725
\TheName{}-1.5	172	177	23	28	1581	0.19
\TheName{}-2.0	168	179	21	32	1494	0.17
\TheName{}-2.5	165	178	22	35	1543	0.17
\TheName{}-3.0	165	179	21	35	1489	0.2575
SVM	176	165	35	24	70	0.01
LR	0	200	0	200	1	0.01
Ye-LDA	166	174	26	34	289	0.005
DTree-10	77	187	13	123	4	0.0025
DTree-20	97	186	14	103	7	0.005
RFC-50	116	186	14	84	94	0.02
RFC-100	122	186	14	78	214	0.0475
NLSVM-0.1	3	200	0	197	23	0.1475
NLSVM-1.0	195	84	116	5	19	0.115
NLSVM-10	199	113	87	1	19	0.0975
LDA	152	169	31	48	444	0.1725
SDA-0.5	168	183	17	32	1423	0.1825
SDA-1.0	167	183	17	33	1402	0.1725
SDA-1.5	166	182	18	34	1462	0.1675
SDA-2.0	166	182	18	34	1392	0.185
SDA-2.5	166	182	18	34	1439	0.19
SDA-3.0	166	182	18	34	1491	0.175
\TheName{}-0.5	184	179	21	16	1512	0.2075
\TheName{}-1.0	173	181	19	27	1498	0.17
\TheName{}-1.5	172	180	20	28	1502	0.195
\TheName{}-2.0	169	181	19	31	1509	0.17
\TheName{}-2.5	169	181	19	31	1497	0.1825
\TheName{}-3.0	168	181	19	32	1541	0.19
SVM	180	182	18	20	25	0.005
LR	0	200	0	200	1	0.0175
Ye-LDA	162	176	24	38	281	0.005
DTree-10	49	182	18	151	4	0.005
DTree-20	76	176	24	124	8	0.0025
RFC-50	133	187	13	67	103	0.0225
RFC-100	131	184	16	69	277	0.0675
NLSVM-0.1	200	32	168	0	21	0.1475
NLSVM-1.0	196	90	110	4	19	0.1125
NLSVM-10	194	136	64	6	19	0.105
LDA	146	160	40	54	443	0.17
SDA-0.5	136	183	17	64	1388	0.1775
SDA-1.0	131	183	17	69	1435	0.1725
SDA-1.5	130	183	17	70	1399	0.1825
SDA-2.0	129	182	18	71	1457	0.1875
SDA-2.5	129	182	18	71	1441	0.1675
SDA-3.0	129	182	18	71	1500	0.17
\TheName{}-0.5	175	148	52	25	1520	0.1925
\TheName{}-1.0	156	185	15	44	1481	0.17
\TheName{}-1.5	143	183	17	57	1513	0.195
\TheName{}-2.0	137	183	17	63	1495	0.1925
\TheName{}-2.5	138	182	18	62	1537	0.17
\TheName{}-3.0	136	182	18	64	1482	0.185
SVM	166	168	32	34	29	0.005
LR	0	200	0	200	1	0.0025
Ye-LDA	143	185	15	57	297	0.0075
DTree-10	64	178	22	136	4	0.005
DTree-20	81	179	21	119	6	0.0025
RFC-50	109	184	16	91	108	0.0225
RFC-100	114	180	20	86	205	0.06
NLSVM-0.1	3	199	1	197	22	0.1575
NLSVM-1.0	178	95	105	22	19	0.115
NLSVM-10	176	173	27	24	17	0.1075
LDA	143	144	56	57	466	0.18
SDA-0.5	152	176	24	48	1433	0.175
SDA-1.0	150	175	25	50	1426	0.1725
SDA-1.5	151	175	25	49	1402	0.175
SDA-2.0	151	175	25	49	1425	0.1825
SDA-2.5	151	175	25	49	1433	0.1675
SDA-3.0	151	174	26	49	1486	0.19
\TheName{}-0.5	161	126	74	39	1490	0.1875
\TheName{}-1.0	174	178	22	26	1477	0.1775
