SDA-10.0	128	212	88	72	0	2.989920267812E9
\TheName{}-10.0	129	224	76	71	0	2.989920270644E9
LDA-	121	188	112	79	0	2.989920271324E9
SDA-10.0	138	213	87	62	0	2.989920273726E9
\TheName{}-10.0	137	222	78	63	0	2.98992027642E9
LDA-	106	187	113	94	0	2.989920276866E9
SDA-10.0	120	238	62	80	0	2.989920279334E9
\TheName{}-10.0	122	242	58	78	0	2.9899202819E9
LDA-	124	179	121	76	0	2.989920282204E9
SDA-10.0	145	212	88	55	0	2.989920284644E9
\TheName{}-10.0	144	213	87	56	0	2.989920286926E9
LDA-	107	196	104	93	0	2.989920287288E9
SDA-10.0	138	231	69	62	0	2.989920289488E9
\TheName{}-10.0	136	232	68	64	0	2.989920291866E9
LDA-	116	185	115	84	0	2.989920292214E9
SDA-10.0	145	206	94	55	0	2.989920294436E9
\TheName{}-10.0	152	205	95	48	0	2.989920296666E9
LDA-	127	201	99	73	0	2.989920297068E9
SDA-10.0	120	207	93	80	0	2.989920299432E9
\TheName{}-10.0	126	215	85	74	0	2.989920301764E9
LDA-	104	210	90	96	0	2.989920302062E9
SDA-10.0	141	215	85	59	0	2.98992030428E9
\TheName{}-10.0	140	215	85	60	0	2.98992030659E9
LDA-	122	209	91	78	0	2.989920306906E9
SDA-10.0	136	208	92	64	0	2.989920309152E9
\TheName{}-10.0	144	221	79	56	0	2.989920311486E9
LDA-	110	197	103	90	0	2.98992031181E9
SDA-10.0	121	206	94	79	0	2.989920314122E9
\TheName{}-10.0	132	212	88	68	0	2.989920316576E9
LDA-	106	177	123	94	0	2.9899203169E9
SDA-10.0	134	209	91	66	0	2.989920319214E9
\TheName{}-10.0	139	208	92	61	0	2.989920321554E9
LDA-	131	172	128	69	0	2.989920321862E9
SDA-10.0	149	195	105	51	0	2.989920324152E9
\TheName{}-10.0	146	196	104	54	0	2.98992032655E9
LDA-	118	172	128	82	0	2.989920326846E9
SDA-10.0	127	227	73	73	0	2.98992032906E9
\TheName{}-10.0	141	233	67	59	0	2.989920331318E9
LDA-	93	192	108	107	0	2.989920331624E9
SDA-10.0	134	225	75	66	0	2.989920333818E9
